name:ID,aircraft,:LABEL
272,北美T-28 “特洛伊人/游牧民”,北美T-28 “特洛伊人/游牧民”
273,F3H/F-3“恶魔”,F3H/F-3“恶魔”
274,AM“拳师”攻击机,AM“拳师”攻击机
275,B-57“堪培拉”,B-57“堪培拉”
276,F2H/F-2“女妖”,F2H/F-2“女妖”
277,F-100“超佩刀” 战斗轰炸机,F-100“超佩刀” 战斗轰炸机
278,F/A-18A-D“大黄蜂”,F/A-18A-D“大黄蜂”
279,FD/FH“鬼怪”,FD/FH“鬼怪”
280,T-38“禽爪” 高级教练机,T-38“禽爪” 高级教练机
281,F-82“双野马”,F-82“双野马”
282,OV-10“野马” 空中前进控制机/近距离空中支援机,OV-10“野马” 空中前进控制机/近距离空中支援机
283,B-45“龙卷风”	,B-45“龙卷风”	
284,T-2“橡树” 教练机,T-2“橡树” 教练机
285,F-22“猛禽”战斗机,F-22“猛禽”战斗机
286,F-15A-D“鹰”,F-15A-D“鹰”
287,JRM“火星”海上运输飞艇,JRM“火星”海上运输飞艇
288,A-5/RA-5“民团团员” 轰炸机/侦察机,A-5/RA-5“民团团员” 轰炸机/侦察机
289,F/RF/86A-H “佩刀”,F/RF/86A-H “佩刀”
290,F-4“鬼怪Ⅱ”,F-4“鬼怪Ⅱ”
291,L-17/U-18“纳维翁” 联络机/通用机,L-17/U-18“纳维翁” 联络机/通用机
292,YO-3A侦察机,YO-3A侦察机
293,F-89“蝎子”,F-89“蝎子”
294,F7U“弯刀”,F7U“弯刀”
295,T-39 “佩刀客”	,T-39 “佩刀客”	
296,SBD“无畏式”,SBD“无畏式”
297,PBY“卡特琳娜”,PBY“卡特琳娜”
298,C-9“空中列车Ⅱ/南丁格尔”,C-9“空中列车Ⅱ/南丁格尔”
299,P4M“莫卡托”,P4M“莫卡托”
300,YC-125“袭击者” 运输/搜救机,YC-125“袭击者” 运输/搜救机
301,R6D-8/C-118“举重霸王”,R6D-8/C-118“举重霸王”
302,F-86D/K/L “佩刀猛犬”,F-86D/K/L “佩刀猛犬”
303,F8U/F-8“十字军战士”	,F8U/F-8“十字军战士”	
304,TBY/TBU“海狼”,TBY/TBU“海狼”
305,R4D-8/C-117“海豚”,R4D-8/C-117“海豚”
306,PB4Y-2“私掠船”,PB4Y-2“私掠船”
307,F6U“海盗船”	,F6U“海盗船”	
308,F-5A/B“自由战士,F-5A/B“自由战士
309,P-40 “战鹰/小鹰”,P-40 “战鹰/小鹰”
310,FR“火球”,FR“火球”
311,SR-71侦察机,SR-71侦察机
312,B-2“幽灵” 战略轰炸机,B-2“幽灵” 战略轰炸机
313,S-3“维京”反潜机,S-3“维京”反潜机
314,AT-9,AT-9
315,T-6A“德克萨斯人II”,T-6A“德克萨斯人II”
316,PQ-14/TD2C-1,PQ-14/TD2C-1
317,PB2Y“科罗娜多”,PB2Y“科罗娜多”
318,SC“海鹰”,SC“海鹰”
319,AT-8/17/UC-78“短尾猫”,AT-8/17/UC-78“短尾猫”
320,C-46 “突击队员”,C-46 “突击队员”
321,B-32“统治者”,B-32“统治者”
322,F-5E“虎II”,F-5E“虎II”
323,BTD “毁灭者”,BTD “毁灭者”
324,B-1B“枪骑兵”,B-1B“枪骑兵”
325,A-20“浩劫”,A-20“浩劫”
326,F-105“雷公”战斗轰炸机,F-105“雷公”战斗轰炸机
327,B-24“解放者”	,B-24“解放者”	
328,F/RF-84F“雷电”,F/RF-84F“雷电”
329,C-47/R4D 运输机,C-47/R4D 运输机
330,P-40“战斧”,P-40“战斧”
331,F-84“雷电喷气”,F-84“雷电喷气”
332,BC/AT-6/SNJ“德克萨斯人”,BC/AT-6/SNJ“德克萨斯人”
333,B-26/JM“劫掠者”	,B-26/JM“劫掠者”	
334,P-61“黑寡妇”战斗机,P-61“黑寡妇”战斗机
335,P-51D/K“野马”,P-51D/K“野马”
336,PBM“水手”,PBM“水手”
